GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013
0100000US,,United States,310M200US23460,23460,"United States - In metropolitan statistical area - Gadsden, AL Metro Area","Gadsden, AL Metro Area",104430,104427,104498,104323,104311,103931
0100000US,,United States,310M200US23540,23540,"United States - In metropolitan statistical area - Gainesville, FL Metro Area","Gainesville, FL Metro Area",264275,264275,264665,266635,268660,270382
0100000US,,United States,310M200US23580,23580,"United States - In metropolitan statistical area - Gainesville, GA Metro Area","Gainesville, GA Metro Area",179684,179684,180015,182888,185055,187745
0100000US,,United States,310M200US23900,23900,"United States - In metropolitan statistical area - Gettysburg, PA Metro Area","Gettysburg, PA Metro Area",101407,101407,101462,101611,101610,101546
0100000US,,United States,310M200US24020,24020,"United States - In metropolitan statistical area - Glens Falls, NY Metro Area","Glens Falls, NY Metro Area",128923,128921,128998,129072,128832,128430
0100000US,,United States,310M200US24140,24140,"United States - In metropolitan statistical area - Goldsboro, NC Metro Area","Goldsboro, NC Metro Area",122623,122623,122906,123884,124318,124583
0100000US,,United States,310M200US24220,24220,"United States - In metropolitan statistical area - Grand Forks, ND-MN Metro Area","Grand Forks, ND-MN Metro Area",98461,98461,98602,98108,98997,100748
0100000US,,United States,310M200US24260,24260,"United States - In metropolitan statistical area - Grand Island, NE Metro Area","Grand Island, NE Metro Area",81850,81850,82030,82597,83372,83989
0100000US,,United States,310M200US24300,24300,"United States - In metropolitan statistical area - Grand Junction, CO Metro Area","Grand Junction, CO Metro Area",146723,146723,146464,147499,147790,147554
0100000US,,United States,310M200US24340,24340,"United States - In metropolitan statistical area - Grand Rapids-Wyoming, MI Metro Area","Grand Rapids-Wyoming, MI Metro Area",988938,988940,989196,996006,1005493,1016603
0100000US,,United States,310M200US24420,24420,"United States - In metropolitan statistical area - Grants Pass, OR Metro Area","Grants Pass, OR Metro Area",82713,82713,82838,82641,82813,83306
0100000US,,United States,310M200US24500,24500,"United States - In metropolitan statistical area - Great Falls, MT Metro Area","Great Falls, MT Metro Area",81327,81327,81501,81758,81784,82384
0100000US,,United States,310M200US24540,24540,"United States - In metropolitan statistical area - Greeley, CO Metro Area","Greeley, CO Metro Area",252825,252837,254052,258343,263525,269785
0100000US,,United States,310M200US24580,24580,"United States - In metropolitan statistical area - Green Bay, WI Metro Area","Green Bay, WI Metro Area",306241,306241,306723,308705,311007,312409
0100000US,,United States,310M200US24660,24660,"United States - In metropolitan statistical area - Greensboro-High Point, NC Metro Area","Greensboro-High Point, NC Metro Area",723801,723798,725137,730423,736182,741065
0100000US,,United States,310M200US24780,24780,"United States - In metropolitan statistical area - Greenville, NC Metro Area","Greenville, NC Metro Area",168148,168148,168826,170783,172971,174263
